"sub","partner","day","meetAgain","meetAgain_9points","ShortTerm","LongTerm","Attractiveness","gender","grooveLevel","gRating","eRating","fRating","gcOUT","gcIN","ccOUT","ccIN"
"M14","F11","D1",0,5,5,5,5,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0196061292521046,0.0137663108103601,0.241682368483391,0.214040916471066
"M14","F12","D1",1,7,7,7,7,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0189524883223178,0.0139654896076573,0.181641207625564,0.193818787525385
"M14","F13","D1",0,5,6,5,5,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0106740295679639,0.0072147413399426,0.308393131531808,0.308393131531808
"M15","F15","D1",1,5,4,6,5,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0237542421553805,0.0229669616381862,0.515774511086203,0.513007789030838
"M15","F02","D1",1,8,8,8,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0172577164171348,0.0105543386103615,0.238291741152285,0.235018755298907
"M15","F03","D1",1,8,7,7,7,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0112249119390455,0.00968642516660578,0.10632946616588,0.117483930924999
"M15","F04","D1",1,8,8,5,9,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.028637750406558,0.0075032737295726,0.233062306907075,0.211751193708065
"M15","F06","D1",1,7,2,8,8,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0275744884405191,0.0131632244931854,0.368185349968353,0.363992880181439
"M15","F07","D1",0,7,2,2,5,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0046179076914088,0.0172910448287529,0.191733315339583,0.196317282302096
"M15","F08","D1",0,3,3,4,3,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.0130565887912786,0.0152437785863504,0.207150155073877,0.203068829597111
"M15","F09","D1",1,7,6,8,7,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0257665554632092,0.0117016971176018,0.424190828313057,0.424190828313057
"M15","F11","D1",0,4,2,2,3,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.0109525683351199,0.0214570862657428,0.118779676761206,0.116219526710445
"M15","F12","D1",1,7,8,3,5,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0158511718302994,0.0217519823392047,0.359407399685915,0.379721535964688
"M15","F13","D1",1,7,8,9,8,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0259462755160111,0.0155880930521803,0.350693405420308,0.350693405420308
"M15","F14","D1",1,6,6,5,5,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0293294143382905,0.0246850145324093,0.0223310368554053,0.0374463860224549
"M16","F16","D2",1,6,6,6,5,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0306142921216397,0.0250810728890416,0.222630526781857,0.222630526781857
"M16","F17","D2",1,7,7,6,7,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0116178302301444,0.0240205232495825,0.214307862456324,0.234037183949521
"M16","F18","D2",0,1,1,1,6,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.013831863877523,0.0132984385776371,0.245711312624686,0.243941032087809
"M16","F19","D2",1,7,7,5,7,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.00744737344386248,0.0186970334225567,0.184547415365463,0.224439242007532
"M16","F20","D2",1,4,8,3,7,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0122769416764488,0.0246499032100633,0.277195171011996,0.270814601978327
"M16","F21","D2",0,1,1,1,3,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.00901832592705887,0.0151463937477545,0.0801776409034412,0.0801776409034412
"M16","F22","D2",0,1,1,1,3,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.00970034755542537,0.0145041426411363,-0.0147362794261999,0.0764311271762872
"M16","F24","D2",1,5,8,5,5,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.0161008111121319,0.00596589416760418,0.136388201359254,0.136388201359254
"M16","F25","D2",1,6,8,6,6,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0117791930208284,0.0133567136751971,0.271097253350745,0.256855466349378
"M16","F26","D2",1,6,8,5,7,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0164151564214032,0.00802299761074643,0.164072335941447,0.164072335941447
"M16","F27","D2",1,7,8,6,6,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.024414706843797,0.00964580730086384,-0.0400778418665863,0.0629540621239373
"M16","F28","D2",1,3,7,5,5,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.00852951865735285,0.0149263274906626,0.237646466814847,0.224136668373366
"M16","F29","D2",0,1,1,1,3,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0151818594033255,0.00536584763336601,0.0337520963428906,0.0375205357217384
"M16","F30","D2",1,7,7,6,7,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.00779139000976503,0.0156507392512966,-0.116752705927344,-0.104289925402483
"M17","F17","D2",1,7,6,6,6,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0202798903826942,0.0106452996877477,0.408216172573113,0.408216172573113
"M17","F18","D2",0,4,5,4,3,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0233615039966733,0.0193472440329403,0.423173419432958,0.37979484000514
"M17","F20","D2",0,5,3,2,2,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0262637618965265,0.0327125280496272,0.549888806595532,0.548285417738485
"M17","F21","D2",1,6,8,5,6,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0247396520346435,0.0136469310029961,0.271793700103895,0.260121982995609
"M17","F22","D2",0,4,4,3,3,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0226949237797274,0.01290818040132,0.20401136285688,0.210487984137654
"M17","F24","D2",0,6,5,4,3,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.00559164146023994,0.00906668534234045,0.272168367439846,0.274078967632881
"M17","F25","D2",0,3,2,3,5,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.034065531424158,0.0305580190776888,0.295443789397501,0.305849428986698
"M17","F26","D2",0,3,3,4,6,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0106507843731567,0.0173361419575961,0.429716226134109,0.409878553795149
"M17","F27","D2",1,6,7,6,6,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0153711889662995,0.0130936486873781,0.346234367998137,0.346234367998137
"M17","F28","D2",1,5,6,6,4,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.020427303706712,0.00990106698215509,0.205613055069203,0.205613055069203
"M17","F29","D2",0,3,4,2,2,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0220158295223776,0.0115782379217881,0.302912869248022,0.269558487987041
"M17","F30","D2",0,5,4,6,4,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0101385674697272,0.0163917674326526,0.385549727080239,0.384819482315171
"M17","F16","D2",1,6,5,4,3,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0117459704282061,0.0176037726183074,-0.00478805682493128,0.0146794684930625
"M18","F18","D2",1,8,8,8,8,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0173787800037575,0.0160465117713695,0.590539858653465,0.590539858653465
